AWE-Full image path,AWE image path,Subject ID
test/0001.png,011/07.png,M
test/0002.png,011/08.png,M
test/0003.png,011/09.png,M
test/0004.png,001/03.png,M
test/0005.png,012/08.png,M
test/0006.png,012/09.png,M
test/0007.png,002/01.png,M
test/0008.png,012/10.png,M
test/0009.png,002/02.png,M
test/0010.png,013/03.png,M
test/0011.png,014/02.png,M
test/0012.png,014/10.png,M
test/0013.png,015/02.png,M
test/0014.png,015/07.png,M
test/0015.png,015/03.png,M
test/0016.png,016/07.png,M
test/0017.png,016/08.png,M
test/0018.png,016/09.png,M
test/0019.png,017/07.png,M
test/0020.png,017/08.png,M
test/0021.png,017/09.png,M
test/0022.png,018/08.png,M
test/0023.png,018/09.png,M
test/0024.png,018/10.png,M
test/0025.png,019/03.png,M
test/0026.png,020/01.png,F
test/0027.png,020/02.png,F
test/0028.png,021/04.png,M
test/0029.png,021/05.png,M
test/0030.png,021/02.png,M
test/0031.png,022/07.png,M
test/0032.png,022/08.png,M
test/0033.png,022/09.png,M
test/0034.png,023/07.png,M
test/0035.png,023/08.png,M
test/0036.png,023/09.png,M
test/0037.png,003/04.png,M
test/0038.png,024/08.png,M
test/0039.png,024/09.png,M
test/0040.png,003/05.png,M
test/0041.png,024/10.png,M
test/0042.png,003/06.png,M
test/0043.png,025/03.png,M
test/0044.png,026/01.png,F
test/0045.png,026/04.png,F
test/0046.png,027/04.png,M
test/0047.png,027/05.png,M
test/0048.png,027/01.png,M
test/0049.png,028/07.png,M
test/0050.png,028/08.png,M
test/0051.png,028/02.png,M
test/0052.png,029/02.png,M
test/0053.png,029/09.png,M
test/0054.png,029/10.png,M
test/0055.png,030/09.png,M
test/0056.png,030/10.png,M
test/0057.png,030/02.png,M
test/0058.png,031/03.png,M
test/0059.png,032/01.png,M
test/0060.png,032/04.png,M
test/0061.png,033/05.png,F
test/0062.png,033/01.png,F
test/0063.png,033/06.png,F
test/0064.png,034/01.png,M
test/0065.png,034/08.png,M
test/0066.png,034/02.png,M
test/0067.png,035/06.png,M
test/0068.png,035/07.png,M
test/0069.png,035/08.png,M
test/0070.png,004/06.png,M
test/0071.png,036/10.png,M
test/0072.png,036/01.png,M
test/0073.png,004/07.png,M
test/0074.png,036/02.png,M
test/0075.png,004/02.png,M
test/0076.png,037/10.png,F
test/0077.png,038/02.png,M
test/0078.png,038/03.png,M
test/0079.png,039/03.png,M
test/0080.png,039/04.png,M
test/0081.png,039/05.png,M
test/0082.png,040/06.png,M
test/0083.png,040/03.png,M
test/0084.png,040/07.png,M
test/0085.png,041/07.png,M
test/0086.png,041/08.png,M
test/0087.png,041/09.png,M
test/0088.png,042/09.png,M
test/0089.png,042/10.png,M
test/0090.png,042/01.png,M
test/0091.png,043/10.png,M
test/0092.png,044/02.png,M
test/0093.png,044/03.png,M
test/0094.png,045/02.png,M
test/0095.png,045/03.png,M
test/0096.png,045/04.png,M
test/0097.png,046/05.png,M
test/0098.png,046/02.png,M
test/0099.png,046/06.png,M
test/0100.png,047/09.png,M
test/0101.png,047/10.png,M
test/0102.png,047/02.png,M
test/0103.png,005/05.png,M
test/0104.png,048/09.png,M
test/0105.png,048/10.png,M
test/0106.png,005/06.png,M
test/0107.png,048/03.png,M
test/0108.png,005/07.png,M
test/0109.png,049/10.png,M
test/0110.png,050/03.png,M
test/0111.png,050/04.png,M
test/0112.png,051/04.png,M
test/0113.png,051/05.png,M
test/0114.png,051/06.png,M
test/0115.png,052/06.png,M
test/0116.png,052/07.png,M
test/0117.png,052/08.png,M
test/0118.png,053/06.png,F
test/0119.png,053/07.png,F
test/0120.png,053/08.png,F
test/0121.png,054/02.png,M
test/0122.png,054/03.png,M
test/0123.png,054/04.png,M
test/0124.png,055/10.png,M
test/0125.png,056/02.png,M
test/0126.png,056/03.png,M
test/0127.png,057/03.png,M
test/0128.png,057/04.png,M
test/0129.png,057/05.png,M
test/0130.png,058/06.png,M
test/0131.png,058/07.png,M
test/0132.png,058/08.png,M
test/0133.png,059/07.png,M
test/0134.png,059/08.png,M
test/0135.png,059/09.png,M
test/0136.png,006/06.png,M
test/0137.png,060/09.png,M
test/0138.png,060/04.png,M
test/0139.png,006/07.png,M
test/0140.png,060/10.png,M
test/0141.png,006/08.png,M
test/0142.png,061/04.png,M
test/0143.png,062/01.png,M
test/0144.png,062/04.png,M
test/0145.png,063/04.png,M
test/0146.png,063/05.png,M
test/0147.png,063/06.png,M
test/0148.png,064/06.png,M
test/0149.png,064/07.png,M
test/0150.png,064/08.png,M
test/0151.png,065/08.png,M
test/0152.png,065/09.png,M
test/0153.png,065/10.png,M
test/0154.png,066/09.png,M
test/0155.png,066/10.png,M
test/0156.png,066/02.png,M
test/0157.png,068/01.png,M
test/0158.png,068/02.png,M
test/0159.png,069/04.png,M
test/0160.png,069/05.png,M
test/0161.png,069/06.png,M
test/0162.png,070/03.png,M
test/0163.png,070/06.png,M
test/0164.png,070/07.png,M
test/0165.png,071/02.png,M
test/0166.png,071/08.png,M
test/0167.png,071/09.png,M
test/0168.png,007/10.png,M
test/0169.png,072/09.png,M
test/0170.png,072/10.png,M
test/0171.png,008/01.png,M
test/0172.png,072/03.png,M
test/0173.png,008/06.png,M
test/0174.png,073/03.png,M
test/0175.png,074/01.png,F
test/0176.png,074/02.png,F
test/0177.png,075/02.png,M
test/0178.png,075/03.png,M
test/0179.png,075/04.png,M
test/0180.png,076/06.png,F
test/0181.png,076/07.png,F
test/0182.png,076/08.png,F
test/0183.png,077/07.png,M
test/0184.png,077/08.png,M
test/0185.png,077/09.png,M
test/0186.png,078/05.png,M
test/0187.png,078/01.png,M
test/0188.png,078/02.png,M
test/0189.png,079/10.png,M
test/0190.png,080/01.png,M
test/0191.png,080/02.png,M
test/0192.png,081/05.png,M
test/0193.png,081/06.png,M
test/0194.png,081/02.png,M
test/0195.png,082/06.png,M
test/0196.png,082/01.png,M
test/0197.png,082/02.png,M
test/0198.png,083/02.png,M
test/0199.png,083/08.png,M
test/0200.png,083/09.png,M
test/0201.png,009/04.png,F
test/0202.png,084/10.png,M
test/0203.png,084/02.png,M
test/0204.png,009/01.png,F
test/0205.png,084/03.png,M
test/0206.png,009/05.png,F
test/0207.png,085/02.png,M
test/0208.png,086/01.png,F
test/0209.png,086/06.png,F
test/0210.png,087/04.png,M
test/0211.png,087/05.png,M
test/0212.png,087/06.png,M
test/0213.png,088/08.png,M
test/0214.png,088/09.png,M
test/0215.png,088/10.png,M
test/0216.png,089/07.png,M
test/0217.png,089/08.png,M
test/0218.png,089/09.png,M
test/0219.png,090/08.png,M
test/0220.png,090/09.png,M
test/0221.png,090/10.png,M
test/0222.png,091/03.png,M
test/0223.png,092/01.png,M
test/0224.png,092/03.png,M
test/0225.png,093/02.png,M
test/0226.png,093/05.png,M
test/0227.png,093/03.png,M
test/0228.png,094/04.png,M
test/0229.png,094/05.png,M
test/0230.png,094/06.png,M
test/0231.png,095/07.png,M
test/0232.png,095/08.png,M
test/0233.png,095/09.png,M
test/0234.png,010/07.png,M
test/0235.png,096/02.png,M
test/0236.png,096/03.png,M
test/0237.png,010/08.png,M
test/0238.png,096/04.png,M
test/0239.png,010/02.png,M
test/0240.png,097/02.png,M
test/0241.png,098/01.png,M
test/0242.png,098/03.png,M
test/0243.png,099/04.png,M
test/0244.png,099/01.png,M
test/0245.png,099/05.png,M
test/0246.png,M/04.png,M
test/0247.png,M/05.png,M
test/0248.png,M/06.png,M
test/0249.png,093/08.png,M
test/0250.png,096/10.png,M
train/0001.png,M/10.png,M
train/0002.png,010/04.png,M
train/0003.png,011/02.png,M
train/0004.png,011/03.png,M
train/0005.png,011/04.png,M
train/0006.png,011/05.png,M
train/0007.png,011/06.png,M
train/0008.png,011/10.png,M
train/0009.png,011/01.png,M
train/0010.png,012/01.png,M
train/0011.png,012/02.png,M
train/0012.png,012/03.png,M
train/0013.png,012/04.png,M
train/0014.png,012/05.png,M
train/0015.png,012/06.png,M
train/0016.png,012/07.png,M
train/0017.png,013/04.png,M
train/0018.png,013/05.png,M
train/0019.png,013/01.png,M
train/0020.png,013/06.png,M
train/0021.png,013/07.png,M
train/0022.png,013/02.png,M
train/0023.png,013/08.png,M
train/0024.png,013/09.png,M
train/0025.png,013/10.png,M
train/0026.png,014/03.png,M
train/0027.png,014/04.png,M
train/0028.png,014/05.png,M
train/0029.png,014/06.png,M
train/0030.png,014/07.png,M
train/0031.png,014/08.png,M
train/0032.png,014/09.png,M
train/0033.png,002/03.png,M
train/0034.png,014/01.png,M
train/0035.png,015/01.png,M
train/0036.png,015/04.png,M
train/0037.png,015/08.png,M
train/0038.png,015/09.png,M
train/0039.png,015/05.png,M
train/0040.png,015/10.png,M
train/0041.png,002/04.png,M
train/0042.png,015/06.png,M
train/0043.png,016/04.png,M
train/0044.png,016/05.png,M
train/0045.png,016/06.png,M
train/0046.png,016/10.png,M
train/0047.png,016/01.png,M
train/0048.png,016/02.png,M
train/0049.png,002/05.png,M
train/0050.png,016/03.png,M
train/0051.png,017/04.png,M
train/0052.png,017/05.png,M
train/0053.png,017/01.png,M
train/0054.png,017/02.png,M
train/0055.png,017/06.png,M
train/0056.png,017/03.png,M
train/0057.png,002/06.png,M
train/0058.png,017/10.png,M
train/0059.png,018/01.png,M
train/0060.png,018/02.png,M
train/0061.png,018/03.png,M
train/0062.png,018/04.png,M
train/0063.png,018/05.png,M
train/0064.png,018/06.png,M
train/0065.png,018/07.png,M
train/0066.png,002/07.png,M
train/0067.png,019/04.png,M
train/0068.png,019/05.png,M
train/0069.png,019/06.png,M
train/0070.png,019/07.png,M
train/0071.png,019/08.png,M
train/0072.png,019/09.png,M
train/0073.png,019/01.png,M
train/0074.png,019/10.png,M
train/0075.png,019/02.png,M
train/0076.png,002/08.png,M
train/0077.png,020/04.png,F
train/0078.png,020/05.png,F
train/0079.png,020/06.png,F
train/0080.png,020/07.png,F
train/0081.png,020/08.png,F
train/0082.png,020/09.png,F
train/0083.png,020/10.png,F
train/0084.png,002/09.png,M
train/0085.png,020/03.png,F
train/0086.png,021/01.png,M
train/0087.png,021/06.png,M
train/0088.png,021/07.png,M
train/0089.png,021/08.png,M
train/0090.png,021/09.png,M
train/0091.png,021/10.png,M
train/0092.png,002/10.png,M
train/0093.png,021/03.png,M
train/0094.png,022/01.png,M
train/0095.png,022/06.png,M
train/0096.png,022/02.png,M
train/0097.png,022/02.png,M
train/0098.png,022/10.png,M
train/0099.png,022/03.png,M
train/0100.png,003/03.png,M
train/0101.png,022/04.png,M
train/0102.png,023/01.png,M
train/0103.png,023/03.png,M
train/0104.png,023/04.png,M
train/0105.png,023/05.png,M
train/0106.png,023/06.png,M
train/0107.png,023/10.png,M
train/0108.png,023/02.png,M
train/0109.png,024/01.png,M
train/0110.png,024/03.png,M
train/0111.png,024/02.png,M
train/0112.png,024/04.png,M
train/0113.png,024/05.png,M
train/0114.png,024/06.png,M
train/0115.png,024/07.png,M
train/0116.png,025/04.png,M
train/0117.png,025/01.png,M
train/0118.png,025/05.png,M
train/0119.png,025/06.png,M
train/0120.png,025/07.png,M
train/0121.png,025/08.png,M
train/0122.png,025/09.png,M
train/0123.png,025/02.png,M
train/0124.png,025/10.png,M
train/0125.png,026/05.png,F
train/0126.png,026/02.png,F
train/0127.png,026/06.png,F
train/0128.png,026/07.png,F
train/0129.png,026/08.png,F
train/0130.png,026/09.png,F
train/0131.png,026/10.png,F
train/0132.png,003/07.png,M
train/0133.png,026/03.png,F
train/0134.png,027/03.png,M
train/0135.png,027/06.png,M
train/0136.png,027/07.png,M
train/0137.png,027/08.png,M
train/0138.png,027/09.png,M
train/0139.png,027/10.png,M
train/0140.png,003/08.png,M
train/0141.png,027/02.png,M
train/0142.png,028/05.png,M
train/0143.png,028/06.png,M
train/0144.png,028/01.png,M
train/0145.png,028/09.png,M
train/0146.png,028/03.png,M
train/0147.png,028/10.png,M
train/0148.png,003/09.png,M
train/0149.png,028/04.png,M
train/0150.png,029/01.png,M
train/0151.png,029/05.png,M
train/0152.png,029/06.png,M
train/0153.png,029/07.png,M
train/0154.png,029/08.png,M
train/0155.png,029/03.png,M
train/0156.png,003/10.png,M
train/0157.png,029/04.png,M
train/0158.png,030/03.png,M
